กระบวนการ,แนวทางการขาย,วิธีการ,Word,Word2,Word3,Word4,Word5,Word6,,,,Colour
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาต,เลขที่,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาตวินาศภัย,เลขที่,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาตยังไม่หมดอายุ,,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาตนายหน้า,เลขที่,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ประกันวินาศภัย,,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาตประกันนายหน้า,เลขที่,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาตยังไม่หมดอายุ,,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,มีใบอนุญาต,,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ใบอนุญาตประกันชีวิต,เลขที่,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,นายหน้าประกันวินาศภัย,,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,นายหน้าประกันชีวิต,,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ผู้มีใบอนุญาต,เลขที่,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,ขออนุญาตแนะนำตัว,ชื่อ,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,แนะนำตัว,ชื่อ,,,,,,,,#ffff00
ขั้นตอนก่อนการขาย,การแนะนำตัว,1.แสดงใบอนุญาต/แนะนำตัว,พนักงานชื่อ,,,,,,,,,#ffff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ขอสอบถาม,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,วัตถุประสงค์,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,สนใจบัตรแบบไหน,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,สนใจบัตร,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,มีให้เลือก,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ใช้จ่ายทั่วไป,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ฟรีค่าธรรมเนียม,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ค่าออกบัตร,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ค่าธรรมเนียนมรายปี,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,กดถอน,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ซื้อของออนไลน์,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,รูดซื้อของ,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ชอปปิ้งออนไลน์,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ชำระสินค้าและบริการ,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,จ่าย payment,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ใช้ต่างประเทศ,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ขอแนะนำ,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,บัตรทดแทน,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,บัตร,เดิม ,ใหม่,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,บัตร,หาย,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,บัตร,ชำรุด,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,บัตร,หัก,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,บัตรหมดอายุ,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ถูกยึด,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ตู้กินบัตร,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,เครื่องขัดข้อง,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,ถูกยึด,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,สอบถามความต้องการ,2.สอบถามวัตถุประสงค์ลูกค้า,อายัด,,,,,,,,,#00ff00
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,วงเงิน,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,วงเงิน,บัตร,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,วงเงิน,เริ่มที่,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,วงเงิน,สูงสุด,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,ค่าธรรมเนียม,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,ค่า,แรกเข้า,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,ค่า,ออกบัตร,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,ค่า,รายปี,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,Product Catalog,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,product catalog,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,catalog,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,Sale Sheet,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,sale sheet,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,แบบมีประกัน,ค่ารักษา,ไม่คุ้มครอง,อุบัติเหตุ,ฉุกเฉิน,เสียชีวิต,,,,
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,แบบมีประกัน,รักษา,ไม่คุ้มครอง,อุบัติเหตุ,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,แบบมีประกัน,ค่ารักษา,ไม่คุ้มครอง,บาดเจ็บ,ฉุกเฉิน,เสียชีวิต,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,แบบมีประกัน,รักษา,ไม่คุ้มครอง,บาดเจ็บ,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,ความคุ้มครอง,สินไหม,เคลม,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,คุ้มครอง,สินไหม,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,ข้อควรระวัง,,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,เงื่อนไข,คุ้มครอง,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,นำเสนอข้อมูลผลิตภัณฑ์,3. ใช้ Product Catalog/Sales Sheet,เงื่อนไข,ข้อตกลง,,,,,,,,#00ffff
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,ช่องทางการติดต่อ,,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,ก่อนลงนาม,,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,อ่าน,ลงนาม,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,ตรวจสอบ,ข้อมูล,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,อ่าน,ข้อมูล,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,pdpa,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,ขั้นตอนการสมัครบัตร,4. แบบฟอร์มใบคำขอสมัครและเอกสารอื่น,นโยบายความเป็นส่วนตัว,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,การพิสูจน์ตัวตนลูกค้า,5. ตรวจสอบลูกค้าและบัตร,บัตรประชาชน,สแกนใบหน้า,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,การพิสูจน์ตัวตนลูกค้า,5. ตรวจสอบลูกค้าและบัตร,บัตรประชาชน,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,การพิสูจน์ตัวตนลูกค้า,5. ตรวจสอบลูกค้าและบัตร,บัตรประชาชน,ยืนยันตัวตน,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,การพิสูจน์ตัวตนลูกค้า,5. ตรวจสอบลูกค้าและบัตร,ประกอบอาชีพ,,,,,,,,,
ขั้ั้นตอนระหว่างการขาย,การพิสูจน์ตัวตนลูกค้า,5. ตรวจสอบลูกค้าและบัตร,รายได้ต่อ,,,,,,,,,#ff00ff
ขั้ั้นตอนระหว่างการขาย,การพิสูจน์ตัวตนลูกค้า,5. ตรวจสอบลูกค้าและบัตร,ผิดเงื่อนไข,ถ่ายรูป,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ประเภทบัตร,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ตั้งรหัส,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,วงเงิน,ต่อวัน,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ออกบัตรทดแทน,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,กำหนดรหัส,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ตั้งรหัสผ่าน,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ค่าธรรมเนียมรายปี,ปีถัดไป,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ครบ 1 ปี,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ค่าธรรมเนียมรายปี,ปีหน้า,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,บัตรใบแรก,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,หักอัตโนมัติ,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,หักค่าธรรมเนียมอัตโนมัติ,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,ยกเลิกบัตร,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ทำรายการสมัครบัตร,6. ทำรายการสมัครบัตร,คืนค่าธรรมเนียม,,,,,,,,,#ff00ff
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,รับบัตร,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,บัตร,คู่มือ,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,เซลชีท,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,SMS,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,เอสเอ็มเอส,,,,,,,,,
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,email,,,,,,,,,
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,อีเมล,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,QR code,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,ช่องทาง,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,ติดต่อธนาคาร,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,Call Center,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,คอลเซ็นเตอร์ ,,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,เบอร์,111,,,,,,,,#4a86e8
ขั้นตอนหลังการขาย,ส่งมอบเอกสาร,7.Term & Condition และคู่มือ,เบอร์ติดต่อ,,,,,,,,,#4a86e8
