กระบวนการ,แนวทางการขาย,แนวการพูด,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Colour
TELESALES,การเริ่มบทสนทนา,การเริ่มบทสนทนา,สวัสดี,ธนาคารกรุงไทย,,,,,,,,#ffff00
TELESALES,การเริ่มบทสนทนา,การเริ่มบทสนทนา,พนักงาน,กรุงไทย,,,,,,,,#ffff00
TELESALES,การเริ่มบทสนทนา,การเริ่มบทสนทนา,ในนาม,กรุงไทย,,,,,,,,#ffff00
TELESALES,การเริ่มบทสนทนา,การเริ่มบทสนทนา,เลขที่พนักงาน,ธนาคารกรุงไทย,,,,,,,,#ffff00
TELESALES,การแนะนำตัว,แนะนำตัว,ขออนุญาต,เรียนสาย,เรียนสาย,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ขออนุญาต,ติดต่อ,ติดต่อ,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,รหัสพนักงาน,,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,เลขที่พนักงาน,,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ใบอนุญาต,,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,license,,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,เลขที่ี่ใบอนุญาต,,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ใบอนุญาต,เลขที่,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ประชาสัมพันธ์,สินเชื่อ,อเนกประสงค์,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,สะดวก,รับฟัง,ครับ,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,สะดวก,รับฟัง,คะ,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ขอเวลาสั้นๆ,สะดวก,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ขออนุญาต,เรียนสาย,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,ขออนุญาต,เรียนสาย,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,สะดวก,สักครู่,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,แนะนำตัว,สะดวก,เรียนสาย,,,,,,,,#9900ff
TELESALES,การแนะนำตัว,นโยบายความเป็นส่วนตัว,ศึกษานโยบาย,คุ้มครอง,ความเป็นส่วนตัว,,,,,,,#9900ff
